id,factoryId,name_ru,name_en,description_ru,description_en,photo,order,published
pndbotics-1,pndbotics,Adam,Adam,"Гуманоид ростом 167 см, весом 60–62 кг: до 41 степени свободы на прямом квазиприводе, момент в ногах до 340 Н·м, пятипалые кисти.","A 167 cm, 60–62 kg humanoid: up to 41 degrees of freedom on quasi-direct-drive actuators, up to 340 N·m leg torque, five-fingered hands.",,1,да
pndbotics-2,pndbotics,N2,N2,Модификация платформы Adam для научных и исследовательских задач.,A variant of the Adam platform for research applications.,,2,да
pndbotics-3,pndbotics,Bumblebee,Bumblebee,Компактная модификация линейки для демонстрационных и сервисных сценариев.,A compact variant of the line for demo and service scenarios.,,3,да
galbot-1,galbot,Galbot G1,Galbot G1,"Колёсный гуманоид: рост 173 см, вес 85 кг, две руки на 7 степеней свободы и кисти на 12 степеней свободы, подъём корпуса на 65 см, автономность до 10 часов, грузоподъёмность до 5 кг, распознаёт свыше 5000 типов предметов с точностью захвата 95–97%.","A wheeled humanoid: 173 cm, 85 kg, dual 7-DoF arms with 12-DoF hands, 65 cm torso lift, up to 10 hours of runtime, up to 5 kg payload, recognizing 5,000+ object types at 95–97% grasp success.",,1,да
whalesbot-1,whalesbot,Серия AI Module,AI Module series,"Образовательный конструктор с программируемым контроллером, сенсорами и учебной программой — для школьных курсов ИИ и программирования.","An educational kit with a programmable controller, sensors and a curriculum — for school AI and coding courses.",,1,да
whalesbot-2,whalesbot,Серия Mini,Mini series,Упрощённый конструктор для дошкольного и младшего школьного возраста.,A simplified kit for preschool and early-elementary ages.,,2,да
whalesbot-3,whalesbot,Серия Ultimate,Ultimate series,Старший конструктор линейки с расширенным набором деталей и датчиков для профильных курсов и кванториумов.,The line's advanced kit with an extended set of parts and sensors for specialized courses and STEM centers.,,3,да
linkerbot-1,linkerbot,Linker Hand O,Linker Hand O,"Пятипалая кисть линейки O: 6–7 активных степеней свободы, встроенный тактильный массив датчиков, грузоподъёмность до 5 кг.","A five-fingered hand in the O line: 6–7 active degrees of freedom, a built-in tactile sensor array, up to 5 kg payload.",,1,да
linkerbot-2,linkerbot,Linker Hand L,Linker Hand L,"Тросовая кисть линейки L на 21 степень свободы (17 активных): точность позиционирования ±0,20 мм, скорость движения пальцев до 440°/с, масса 1,4 кг.","A tendon-driven hand in the L line with 21 degrees of freedom (17 active): ±0.20 mm positioning accuracy, finger speed up to 440°/s, 1.4 kg mass.",,2,да
linkerbot-3,linkerbot,Linker Hand T,Linker Hand T,Модификация линейки для тактильных исследовательских задач с плотным массивом датчиков давления на подушечках пальцев.,"A variant of the line for tactile-research tasks, with a dense pressure-sensor array on the fingertips.",,3,да
brainco-1,brainco,Бионические протезы верхних конечностей,Upper-limb bionic prostheses,"Линейка протезов на той же нейроинтерфейсной платформе, что и флагманская кисть BrainRobotics — для пациентов с разным уровнем ампутации.",A prosthetics line on the same neural-interface platform as the flagship BrainRobotics hand — for patients with different amputation levels.,,2,да
brainco-2,brainco,Носимые устройства для реабилитации,Wearable rehabilitation devices,Носимые нейроинтерфейсные устройства для восстановления моторики после травм и инсульта.,Wearable neural-interface devices for motor-function recovery after injury or stroke.,,3,да
brainco-3,brainco,Устройства когнитивного тренинга,Cognitive training devices,Носимые устройства для тренировки внимания и когнитивных функций на основе считывания ЭЭГ-сигналов.,Wearable devices for attention and cognitive training based on EEG signal reading.,,4,да
bzl-1,bzl,Строительные роботы,Construction robots,"Около 50 моделей строительных роботов в разработке, свыше 30 прошли испытания на реальных объектах, 18 — в коммерческой эксплуатации.","About 50 construction-robot models in development, 30+ field-tested on real sites, 18 in commercial use.",,1,да
bzl-2,bzl,Оборудование для индустриального домостроения,Industrialized construction equipment,"Интеллектуальное оборудование для стройплощадки, дополняющее роботов в цикле индустриального домостроения.",Smart job-site equipment complementing the robots in the industrialized-construction cycle.,,2,да
bzl-3,bzl,Система многомашинного управления BIM+FMS+WMS,BIM+FMS+WMS multi-robot control system,Система автоматического распределения задач между строительными роботами на площадке на основе BIM-модели.,"A system that automatically distributes tasks among construction robots on site, based on the BIM model.",,3,да
borunte-1,borunte,Шестиосевые роботы,6-axis robots,"Универсальные шестиосевые роботы линейки: грузоподъёмность от 1 до 500 кг, вылет от 500 до 3500 мм.","General-purpose six-axis robots: 1–500 kg payload, 500–3500 mm reach.",,1,да
borunte-2,borunte,Четырёхосевые паллетайзеры,4-axis palletizers,Паллетайзеры для укладки коробов и мешков на паллеты по заданному шаблону.,Palletizers for stacking boxes and bags onto pallets to a set pattern.,,2,да
borunte-3,borunte,SCARA,SCARA,Горизонтальные шарнирные роботы для быстрой сборки и укладки мелких деталей.,Horizontally-articulated robots for fast assembly and placement of small parts.,,3,да
borunte-4,borunte,Коллаборативные роботы,Collaborative robots,Роботы для совместной работы с человеком без ограждения рабочей зоны.,Robots for working alongside people without a fenced-off work cell.,,4,да
borunte-5,borunte,Параллельные (дельта) роботы,Parallel (delta) robots,Дельта-роботы для скоростного отбора и упаковки: грузоподъёмность от 3 кг с системой машинного зрения.,Delta robots for high-speed picking and packing: from 3 kg payload with a machine-vision system.,,5,да
borunte-6,borunte,Штамповочные роботы,Stamping robots,Роботы для обслуживания штамповочных прессов — загрузка и выгрузка заготовок.,Robots for tending stamping presses — loading and unloading blanks.,,6,да
borunte-7,borunte,Роботы для термопластавтоматов,Injection-molding robots,Роботы для извлечения деталей из термопластавтоматов и литья под давлением.,Robots for extracting parts from injection-molding machines.,,7,да
fangshi-1,fangshi,Лазерный робот выравнивания пола,Laser floor-leveling robot,Флагман компании на четырёх колёсах: лазерная система контролирует ровность стяжки в реальном времени.,"The company's flagship, on four wheels: a laser system checks screed flatness in real time.",,1,да
fangshi-2,fangshi,Гусеничный затирочный робот,Tracked trowel robot,Робот на гусеничном ходу для механической затирки бетонных полов.,A tracked robot for mechanically troweling concrete floors.,,2,да
fangshi-3,fangshi,Четырёхдисковый затирочный робот,Four-disc trowel robot,Затирочный робот с четырьмя дисками для повышенной производительности на больших площадях.,A trowel robot with four discs for higher throughput on large areas.,,3,да
fangshi-4,fangshi,Роботы для бетонных полов,Concrete-floor robots,Линейка роботов для обработки бетонных полов на разных этапах — от заливки до финишной обработки.,"A line of robots for concrete-floor work at different stages, from pouring to finishing.",,4,да
fangshi-5,fangshi,Роботы обмера зданий,Building-survey robots,Роботы для автоматического обмера помещений и контроля соответствия проекту.,Robots for automatically surveying spaces and checking compliance with the design.,,5,да
fangshi-6,fangshi,Роботы внутренней отделки,Interior-finishing robots,Роботы для механизации отделочных работ внутри помещений.,Robots that mechanize interior finishing work.,,6,да
yanc-1,yanc,YC-ZB40,YC-ZB40,Модель варочного/порционного оборудования линейки завода — комплектуется под индивидуальное техзадание центральной кухни.,A cooking/portioning unit in the factory's line — configured to a central kitchen's specific brief.,,1,да
yanc-2,yanc,YC-XR340-Z,YC-XR340-Z,Модель линейки для линий приготовления риса — часть комплексного решения под централизованные кухни.,A model in the rice-cooking line-up — part of a turnkey solution for central kitchens.,,2,да
yanc-3,yanc,TW-RD400,TW-RD400,Модель варочного оборудования линейки завода.,A cooking-equipment model in the factory's line.,,3,да
yanc-4,yanc,TW-500D,TW-500D,Модель варочного оборудования линейки завода.,A cooking-equipment model in the factory's line.,,4,да
yanc-5,yanc,TW-260,TW-260,Компактная модель варочного оборудования линейки завода.,A compact cooking-equipment model in the factory's line.,,5,да
yanc-6,yanc,YC-ZC9000,YC-ZC9000,Модель линии приготовления риса повышенной производительности.,A higher-throughput model in the rice-cooking line.,,6,да
yanc-7,yanc,Порционеры риса,Rice portioners,Оборудование для автоматической порционной раздачи риса на линии централизованной кухни.,Equipment for automatically portioning rice on a central-kitchen line.,,7,да
yanc-8,yanc,Линии риса,Rice lines,Комплексные линии приготовления риса — от промывки и варки до порционирования.,Turnkey rice-cooking lines — from washing and cooking to portioning.,,8,да
yanc-9,yanc,Фритюрницы,Deep fryers,Промышленные фритюрницы для централизованных кухонь.,Industrial deep fryers for central kitchens.,,9,да
yanc-10,yanc,Варочные котлы,Cooking kettles,"Промышленные варочные котлы для супов, соусов и гарниров.","Industrial cooking kettles for soups, sauces and side dishes.",,10,да
yanc-11,yanc,Посудомоечные машины,Dishwashers,Промышленные посудомоечные машины для потока централизованной кухни.,Industrial dishwashers for a central kitchen's throughput.,,11,да
xiangying-1,xiangying,Линии риса,Rice lines,"Комплексные линии приготовления риса под централизованные кухни — проектирование, изготовление, монтаж, пусконаладка.","Turnkey rice-cooking lines for central kitchens — design, fabrication, installation, commissioning.",,1,да
xiangying-2,xiangying,Линия 600,Line 600,Типовая линия приготовления линейки завода — один из около 2000 типоразмеров в 15 продуктовых сериях.,"A standard line configuration from the factory's range — one of roughly 2,000 size variants across 15 product series.",,2,да
xiangying-3,xiangying,Вок-машины,Wok machines,Автоматические вок-станции для быстрого приготовления блюд заданными партиями.,"Automated wok stations for fast, batch-controlled cooking.",,3,да
xiangying-4,xiangying,Робот-повар R3,Chef robot R3,Робот-манипулятор для автоматизированного приготовления блюд по заданной рецептуре.,A robotic arm for automated cooking to a fixed recipe.,,4,да
xiangying-5,xiangying,Фасовщики риса,Rice packers,Оборудование для автоматической фасовки готового риса.,Equipment for automatically packing cooked rice.,,5,да
xiangying-6,xiangying,Опрокидные котлы,Tilting kettles,Варочные котлы с механизмом опрокидывания для быстрой выгрузки готового продукта.,Cooking kettles with a tilt mechanism for fast discharge of the finished product.,,6,да
xiangying-7,xiangying,Пароварочные камеры,Steam cooking chambers,Камеры пароварки для щадящей термообработки больших партий продукта.,Steam-cooking chambers for gentle heat treatment of large batches.,,7,да
xiangying-8,xiangying,Фритюрницы,Deep fryers,Промышленные фритюрницы линейки завода.,Industrial deep fryers from the factory's line.,,8,да
xiangying-9,xiangying,Линии варки лапши,Noodle-cooking lines,Комплексные линии варки лапши для централизованных кухонь и сетей быстрого питания.,Turnkey noodle-cooking lines for central kitchens and quick-service chains.,,9,да
xiangying-10,xiangying,Посудомоечные комплексы,Dishwashing complexes,Промышленные посудомоечные комплексы для высокого потока централизованной кухни.,Industrial dishwashing complexes for high-throughput central kitchens.,,10,да
xiangying-11,xiangying,Овощемойки,Vegetable washers,Оборудование для промышленной мойки овощей перед обработкой.,Equipment for industrially washing vegetables before processing.,,11,да
xixiang-1,xixiang,Умные столовые,Smart canteens,Готовый сценарий безлюдной столовой: автоматизированное приготовление в связке с собственной платформой аналитики.,A turnkey unmanned-canteen scenario: automated cooking paired with the company's own analytics platform.,,1,да
xixiang-2,xixiang,Автоматы снеков,Snack vending automats,Автономные точки продажи закусок и напитков без персонала.,Unattended vending points for snacks and drinks.,,2,да
xixiang-3,xixiang,Роботизированные лапшичные,Robotic noodle shops,Готовый формат автономной лапшичной с автоматизированным приготовлением по традиционным рецептам.,A turnkey autonomous noodle-shop format with automated cooking to traditional recipes.,,3,да
xixiang-4,xixiang,Роботы-бариста,Barista robots,Автоматизированные точки приготовления кофе в формате безлюдной точки питания.,Automated coffee-making points in the unmanned food-service format.,,4,да
leying-1,leying,Линия приготовления риса на перегретом паре (OHS),Over Heat Steam (OHS) Rice Production Line,"Варка риса перегретым паром свыше 100°C при атмосферном давлении: рис быстро проваривается, структура крахмала стабилизируется, потери влаги и питательных веществ снижаются. Непрерывное автоматическое перемешивание поддерживает однородную текстуру по всей партии и предотвращает слипание. Помимо риса линия варит крупы, бобовые, может делать лапшу и тесто. Производительность 300–1200 кг/ч по сырому рису.","A rice-cooking line using superheated steam above 100°C at atmospheric pressure: rice cooks quickly, its starch structure stabilizes, and moisture/nutrient loss is reduced. Continuous automatic mixing keeps texture even throughout the batch and prevents clumping. Besides rice, the line handles grains and beans and can process noodles and dough. Capacity 300–1,200 kg/h (raw rice basis).",/media/leying/ohs-rice-line.jpg,1,да
leying-2,leying,Линия автоматического приготовления жареного риса,Automatic Fried Rice Processing Line,"Полностью автоматизированная линия: мойка риса — варка — смешивание — жарка при высокой температуре — разрыхление и предварительное охлаждение. Жарка идёт на индукционных сковородах с толстостенным (12 мм) корпусом для стабильного результата; система дозирования отдельно подаёт жидкие приправы, гранулы, порошки и масло. Производительность 500–1000 кг/ч (настраивается).","A fully automated line: rice washing → cooking → mixing → high-temperature frying → loosening and pre-cooling. Frying uses induction-heated pans with a 12 mm-thick body for stable results; a dosing system feeds liquid seasoning, granules, powder and oil through separate stations. Capacity 500–1,000 kg/h (customizable).",,2,да
leying-3,leying,Линия охлаждённого свежего риса (холодная цепь),Chilled Fresh Type Rice Production Line,"Линия для риса суши, онигири и готовых блюд, заканчивающаяся автоматическими дозаторами, формовочной и упаковочной машиной. Судя по собственному каталогу производителя, оборудование этой линии используют такие бренды охлаждённого риса, как 7-Eleven, LAWSON, FamilyMart, Jinjin Convenience и Ito-Yokado. Специальная технология делает рис более белым, с более высоким и стабильным содержанием влаги, уменьшает комкование и ретроградацию крахмала. Процесс от сырого до готового риса полностью автоматизирован. Производительность 150–600 кг/ч по сырому рису.","A line for sushi and onigiri rice and ready meals, ending in automatic dispensers, a forming machine and a packaging unit. Per the manufacturer's own catalog, this line's equipment is used by chilled-rice brands including 7-Eleven, LAWSON, FamilyMart, Jinjin Convenience and Ito-Yokado. A dedicated process makes the rice whiter, keeps moisture higher and more stable, and reduces clumping and starch retrogradation. The process from raw to cooked rice is fully automated. Capacity 150–600 kg/h (raw rice basis).",/media/leying/chilled-rice-line.jpg,3,да
leying-4,leying,Линия непрерывной автоматической жарки во фритюре,Automatic Continuous Fry Processing Line,"Линия непрерывной жарки во фритюре с несколькими независимо регулируемыми зонами нагрева масла; автоматическое удаление осадка продлевает срок службы масла. Варианты конвейера — скребковый, сетчатый, цепной или комбинированный, с возможностью фторопластового покрытия. Производительность 2500–5000 шт/ч (в пересчёте на куриные крылышки).","A continuous deep-frying line with several independently controlled oil-heating zones; automatic sediment removal extends oil life. Conveyor options include scraper-bottom, mesh-belt, chain-plate or combined types, with an optional PTFE coating. Capacity 2,500–5,000 pieces/h (chicken-wing equivalent).",/media/leying/continuous-fry-line.jpg,4,да
leying-5,leying,Линия автоматической варки лапши,Automatic Noodle Cooking Production Line,"Линия варки лапши по принципу последовательных перекидных корзин: нагрев, охлаждение и обезвоживание идут отдельными, независимо настраиваемыми этапами. Высокоскоростное обезвоживание потоком воздуха убирает лишнюю влагу за секунды, сохраняя упругую текстуру и облегчая впитывание приправ. Смешивание и дозирование приправ — автоматическое, без ручного труда. Производительность 200–600 кг/ч по сырой лапше.","A noodle-cooking line based on sequential tipping baskets: heating, cooling and dewatering happen in separate, independently tuned stages. High-speed air dewatering removes excess moisture in seconds, keeping the noodles springy and helping seasoning absorb better. Mixing and seasoning dosing are automatic, with no manual steps. Capacity 200–600 kg/h (raw noodle basis).",/media/leying/noodle-cooking-line.jpg,5,да
leying-6,leying,Линия сверхвысокотемпературного пропекания паром (UHT),Ultra-High Temperature (UHT) Steam Grilling Line,"Обработка паром температурой до 280°C: сверхвысокотемпературный пар быстро пропекает поверхность продукта с эффектом реакции Майяра, повышая скорость приготовления на 30–50% по сравнению с традиционным оборудованием. Насыщенный перегретый пар создаёт в камере среду с пониженным содержанием кислорода, что замедляет окисление продукта и продлевает срок хранения, а высокая температура быстро уничтожает бактерии. Влажный пар удерживает влагу внутри продукта, сохраняя вкус и текстуру. Производительность 100–500 кг/ч по сырью.","A steam-processing line up to 280°C: superheated steam sears the product surface quickly with a Maillard-reaction effect, improving cooking speed by 30–50% versus traditional equipment. The saturated superheated steam creates a low-oxygen environment inside the chamber, slowing oxidation and extending shelf life, while the high temperature quickly kills bacteria. The moist steam keeps water locked inside the product, preserving flavor and texture. Capacity 100–500 kg/h (raw ingredient basis).",/media/leying/uht-steam-grilling-line.jpg,6,да
leying-7,leying,Автоматический варочный котёл с перемешиванием,Automatic Material Agitating Wok,"Варочный котёл с планетарным перемешиванием: скребок из термостойкого композита плотно прилегает к стенкам котла, обеспечивая равномерное перемешивание без пригорания. Датчик температуры внутри продукта отслеживает готовность для полностью автоматического цикла варки. Управление — сенсорный экран на базе PLC: опрокидывание, старт/стоп перемешивания и нагрева, опциональная система CIP-мойки. Объём котла 150–600 л.","A cooking kettle with planetary agitation: a heat-resistant composite scraper stays flush against the kettle wall for even mixing without scorching. A temperature probe inside the food tracks doneness for a fully automatic cooking cycle. PLC-based touchscreen control handles tilting, mix start/stop and heat start/stop, with an optional CIP wash system. Kettle volume 150–600 L.",/media/leying/material-agitating-wok.jpg,7,да
leying-8,leying,Индукционная сковорода с перемешиванием (IH),Induction Heating (IH) Flat-bottom Agitating Wok,"Сковорода с индукционным нагревом и трёхмерным перемешиванием (по горизонтали и вертикали), обеспечивающим более равномерное смешивание, чем в традиционных конструкциях — подходит для жареного риса, обжарки лапши и яичницы. Мощность нагрева 40 кВт, один цикл обжарки — 5–10 минут, гидравлический толкатель выгружает готовый продукт. Управление — сенсорный экран на базе PLC с полностью автоматическим циклом. Рабочий объём 260 л, разовая загрузка до 30 кг сырья.","An induction-heated wok with 3D agitation (horizontal and vertical) for more even mixing than traditional designs — suited to fried rice, stir-fried noodles and scrambled eggs. Heating power 40 kW, one frying cycle takes 5–10 minutes, a hydraulic pusher discharges the finished batch. Control is via a PLC touchscreen with a fully automatic cycle. Working volume 260 L, up to 30 kg of raw material per batch.",/media/leying/ih-flat-bottom-wok.jpg,8,да
